source,destination,distance,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23
N_0_0,N_1_0,3.1518960638811393,3.21,3.21,3.21,3.21,3.21,3.21,4.92,4.92,5.67,5.67,3.78,3.78,3.78,3.78,3.78,3.78,5.3,6.05,6.05,5.3,3.4,3.4,3.4,3.4
N_0_0,N_1_1,2.4532153133763552,4.02,4.02,4.02,4.02,4.02,4.02,6.67,6.67,7.85,7.85,4.91,4.91,4.91,4.91,4.91,4.91,7.26,8.44,8.44,7.26,4.32,4.32,4.32,4.32
N_0_1,N_0_3,13.279666885146023,7.37,7.37,7.37,7.37,7.37,7.37,9.16,9.16,9.96,9.96,7.97,7.97,7.97,7.97,7.97,7.97,9.56,10.36,10.36,9.56,7.57,7.57,7.57,7.57
N_0_1,N_0_0,6.800911736059037,6.94,6.94,6.94,6.94,6.94,6.94,10.61,10.61,12.24,12.24,8.16,8.16,8.16,8.16,8.16,8.16,11.43,13.06,13.06,11.43,7.34,7.34,7.34,7.34
N_0_1,N_1_1,13.024149808605436,7.23,7.23,7.23,7.23,7.23,7.23,8.99,8.99,9.77,9.77,7.81,7.81,7.81,7.81,7.81,7.81,9.38,10.16,10.16,9.38,7.42,7.42,7.42,7.42
N_0_2,N_0_4,1.1546997189210562,1.89,1.89,1.89,1.89,1.89,1.89,3.14,3.14,3.7,3.7,2.31,2.31,2.31,2.31,2.31,2.31,3.42,3.97,3.97,3.42,2.03,2.03,2.03,2.03
N_0_2,N_0_3,9.244813348968933,5.13,5.13,5.13,5.13,5.13,5.13,6.38,6.38,6.93,6.93,5.55,5.55,5.55,5.55,5.55,5.55,6.66,7.21,7.21,6.66,5.27,5.27,5.27,5.27
N_0_2,N_0_0,6.85999220761947,7.0,7.0,7.0,7.0,7.0,7.0,10.7,10.7,12.35,12.35,8.23,8.23,8.23,8.23,8.23,8.23,11.52,13.17,13.17,11.52,7.41,7.41,7.41,7.41
N_0_2,N_1_3,0.9438704303711647,1.55,1.55,1.55,1.55,1.55,1.55,2.57,2.57,3.02,3.02,1.89,1.89,1.89,1.89,1.89,1.89,2.79,3.25,3.25,2.79,1.66,1.66,1.66,1.66
N_0_3,N_0_1,13.279666885146023,7.37,7.37,7.37,7.37,7.37,7.37,9.16,9.16,9.96,9.96,7.97,7.97,7.97,7.97,7.97,7.97,9.56,10.36,10.36,9.56,7.57,7.57,7.57,7.57
N_0_3,N_1_2,8.166205799733751,4.53,4.53,4.53,4.53,4.53,4.53,5.63,5.63,6.12,6.12,4.9,4.9,4.9,4.9,4.9,4.9,5.88,6.37,6.37,5.88,4.65,4.65,4.65,4.65
N_0_4,N_0_2,1.1546997189210562,1.89,1.89,1.89,1.89,1.89,1.89,3.14,3.14,3.7,3.7,2.31,2.31,2.31,2.31,2.31,2.31,3.42,3.97,3.97,3.42,2.03,2.03,2.03,2.03
