source,destination,distance,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23
N_0_0,N_1_0,3.393772505532792,3.46,3.46,3.46,3.46,3.46,3.46,5.29,5.29,6.11,6.11,4.07,4.07,4.07,4.07,4.07,4.07,5.7,6.52,6.52,5.7,3.67,3.67,3.67,3.67
N_0_0,N_1_2,1.3873571033234116,2.28,2.28,2.28,2.28,2.28,2.28,3.77,3.77,4.44,4.44,2.77,2.77,2.77,2.77,2.77,2.77,4.11,4.77,4.77,4.11,2.44,2.44,2.44,2.44
N_0_0,N_1_1,0.5919819373544255,0.97,0.97,0.97,0.97,0.97,0.97,1.61,1.61,1.89,1.89,1.18,1.18,1.18,1.18,1.18,1.18,1.75,2.04,2.04,1.75,1.04,1.04,1.04,1.04
N_0_0,N_2_1,10.623887628427203,5.9,5.9,5.9,5.9,5.9,5.9,7.33,7.33,7.97,7.97,6.37,6.37,6.37,6.37,6.37,6.37,7.65,8.29,8.29,7.65,6.06,6.06,6.06,6.06
N_0_1,N_2_0,5.332628522608212,5.44,5.44,5.44,5.44,5.44,5.44,8.32,8.32,9.6,9.6,6.4,6.4,6.4,6.4,6.4,6.4,8.96,10.24,10.24,8.96,5.76,5.76,5.76,5.76
N_0_1,N_2_1,4.8382819967069235,4.94,4.94,4.94,4.94,4.94,4.94,7.55,7.55,8.71,8.71,5.81,5.81,5.81,5.81,5.81,5.81,8.13,9.29,9.29,8.13,5.23,5.23,5.23,5.23
N_0_10,N_2_10,4.827343250671146,4.92,4.92,4.92,4.92,4.92,4.92,7.53,7.53,8.69,8.69,5.79,5.79,5.79,5.79,5.79,5.79,8.11,9.27,9.27,8.11,5.21,5.21,5.21,5.21
N_0_10,N_1_9,2.2066709173203716,3.62,3.62,3.62,3.62,3.62,3.62,6.0,6.0,7.06,7.06,4.41,4.41,4.41,4.41,4.41,4.41,6.53,7.59,7.59,6.53,3.88,3.88,3.88,3.88
N_0_10,N_1_12,4.435836630308984,4.52,4.52,4.52,4.52,4.52,4.52,6.92,6.92,7.98,7.98,5.32,5.32,5.32,5.32,5.32,5.32,7.45,8.52,8.52,7.45,4.79,4.79,4.79,4.79
N_0_10,N_1_10,3.08775839143826,3.15,3.15,3.15,3.15,3.15,3.15,4.82,4.82,5.56,5.56,3.71,3.71,3.71,3.71,3.71,3.71,5.19,5.93,5.93,5.19,3.33,3.33,3.33,3.33
N_0_10,N_0_9,3.032391863045961,3.09,3.09,3.09,3.09,3.09,3.09,4.73,4.73,5.46,5.46,3.64,3.64,3.64,3.64,3.64,3.64,5.09,5.82,5.82,5.09,3.27,3.27,3.27,3.27
N_0_10,N_1_11,6.8944112673117,7.03,7.03,7.03,7.03,7.03,7.03,10.76,10.76,12.41,12.41,8.27,8.27,8.27,8.27,8.27,8.27,11.58,13.24,13.24,11.58,7.45,7.45,7.45,7.45
N_0_11,N_2_12,6.6136148162918715,6.75,6.75,6.75,6.75,6.75,6.75,10.32,10.32,11.9,11.9,7.94,7.94,7.94,7.94,7.94,7.94,11.11,12.7,12.7,11.11,7.14,7.14,7.14,7.14
N_0_11,N_2_11,4.763292760651247,4.86,4.86,4.86,4.86,4.86,4.86,7.43,7.43,8.57,8.57,5.72,5.72,5.72,5.72,5.72,5.72,8.0,9.15,9.15,8.0,5.14,5.14,5.14,5.14
N_0_11,N_1_12,3.3605335029848757,3.43,3.43,3.43,3.43,3.43,3.43,5.24,5.24,6.05,6.05,4.03,4.03,4.03,4.03,4.03,4.03,5.65,6.45,6.45,5.65,3.63,3.63,3.63,3.63
N_0_11,N_1_10,3.7025602817772265,3.78,3.78,3.78,3.78,3.78,3.78,5.78,5.78,6.66,6.66,4.44,4.44,4.44,4.44,4.44,4.44,6.22,7.11,7.11,6.22,4.0,4.0,4.0,4.0
N_0_12,N_1_10,1.4366627777053906,2.36,2.36,2.36,2.36,2.36,2.36,3.91,3.91,4.6,4.6,2.87,2.87,2.87,2.87,2.87,2.87,4.25,4.94,4.94,4.25,2.53,2.53,2.53,2.53
N_0_12,N_0_10,3.9024587827962813,3.98,3.98,3.98,3.98,3.98,3.98,6.09,6.09,7.02,7.02,4.68,4.68,4.68,4.68,4.68,4.68,6.56,7.49,7.49,6.56,4.21,4.21,4.21,4.21
N_0_12,N_2_13,4.589645980813197,4.68,4.68,4.68,4.68,4.68,4.68,7.16,7.16,8.26,8.26,5.51,5.51,5.51,5.51,5.51,5.51,7.71,8.81,8.81,7.71,4.96,4.96,4.96,4.96
N_0_13,N_1_11,6.2896692049070975,6.42,6.42,6.42,6.42,6.42,6.42,9.81,9.81,11.32,11.32,7.55,7.55,7.55,7.55,7.55,7.55,10.57,12.08,12.08,10.57,6.79,6.79,6.79,6.79
N_0_13,N_0_11,9.636753315481082,5.35,5.35,5.35,5.35,5.35,5.35,6.65,6.65,7.23,7.23,5.78,5.78,5.78,5.78,5.78,5.78,6.94,7.52,7.52,6.94,5.49,5.49,5.49,5.49
N_0_14,N_1_12,8.260484897572935,4.58,4.58,4.58,4.58,4.58,4.58,5.7,5.7,6.2,6.2,4.96,4.96,4.96,4.96,4.96,4.96,5.95,6.44,6.44,5.95,4.71,4.71,4.71,4.71
N_0_14,N_0_12,9.643600227019304,5.35,5.35,5.35,5.35,5.35,5.35,6.65,6.65,7.23,7.23,5.79,5.79,5.79,5.79,5.79,5.79,6.94,7.52,7.52,6.94,5.5,5.5,5.5,5.5
N_0_15,N_0_17,1.7313044281023127,2.84,2.84,2.84,2.84,2.84,2.84,4.71,4.71,5.54,5.54,3.46,3.46,3.46,3.46,3.46,3.46,5.12,5.96,5.96,5.12,3.05,3.05,3.05,3.05
N_0_15,N_2_15,12.831964646232946,7.12,7.12,7.12,7.12,7.12,7.12,8.85,8.85,9.62,9.62,7.7,7.7,7.7,7.7,7.7,7.7,9.24,10.01,10.01,9.24,7.31,7.31,7.31,7.31
N_0_16,N_2_16,8.855118033610847,4.91,4.91,4.91,4.91,4.91,4.91,6.11,6.11,6.64,6.64,5.31,5.31,5.31,5.31,5.31,5.31,6.38,6.91,6.91,6.38,5.05,5.05,5.05,5.05
N_0_16,N_1_15,5.651074952247912,5.76,5.76,5.76,5.76,5.76,5.76,8.82,8.82,10.17,10.17,6.78,6.78,6.78,6.78,6.78,6.78,9.49,10.85,10.85,9.49,6.1,6.1,6.1,6.1
N_0_16,N_0_14,3.0854298189454825,3.15,3.15,3.15,3.15,3.15,3.15,4.81,4.81,5.55,5.55,3.7,3.7,3.7,3.7,3.7,3.7,5.18,5.92,5.92,5.18,3.33,3.33,3.33,3.33
N_0_16,N_0_17,8.8814671971563,4.93,4.93,4.93,4.93,4.93,4.93,6.13,6.13,6.66,6.66,5.33,5.33,5.33,5.33,5.33,5.33,6.39,6.93,6.93,6.39,5.06,5.06,5.06,5.06
N_0_17,N_0_16,8.8814671971563,4.93,4.93,4.93,4.93,4.93,4.93,6.13,6.13,6.66,6.66,5.33,5.33,5.33,5.33,5.33,5.33,6.39,6.93,6.93,6.39,5.06,5.06,5.06,5.06
N_0_17,N_0_18,1.5804309137263028,2.59,2.59,2.59,2.59,2.59,2.59,4.3,4.3,5.06,5.06,3.16,3.16,3.16,3.16,3.16,3.16,4.68,5.44,5.44,4.68,2.78,2.78,2.78,2.78
N_0_18,N_0_19,8.887309805989462,4.93,4.93,4.93,4.93,4.93,4.93,6.13,6.13,6.67,6.67,5.33,5.33,5.33,5.33,5.33,5.33,6.4,6.93,6.93,6.4,5.07,5.07,5.07,5.07
N_0_18,N_2_17,8.444906267029953,4.69,4.69,4.69,4.69,4.69,4.69,5.83,5.83,6.33,6.33,5.07,5.07,5.07,5.07,5.07,5.07,6.08,6.59,6.59,6.08,4.81,4.81,4.81,4.81
N_0_18,N_0_17,5.374664071472108,5.48,5.48,5.48,5.48,5.48,5.48,8.38,8.38,9.67,9.67,6.45,6.45,6.45,6.45,6.45,6.45,9.03,10.32,10.32,9.03,5.8,5.8,5.8,5.8
N_0_18,N_1_18,12.305747853991056,6.83,6.83,6.83,6.83,6.83,6.83,8.49,8.49,9.23,9.23,7.38,7.38,7.38,7.38,7.38,7.38,8.86,9.6,9.6,8.86,7.01,7.01,7.01,7.01
N_0_19,N_0_18,8.887309805989462,4.93,4.93,4.93,4.93,4.93,4.93,6.13,6.13,6.67,6.67,5.33,5.33,5.33,5.33,5.33,5.33,6.4,6.93,6.93,6.4,5.07,5.07,5.07,5.07
N_0_19,N_2_18,6.638803316460917,6.77,6.77,6.77,6.77,6.77,6.77,10.36,10.36,11.95,11.95,7.97,7.97,7.97,7.97,7.97,7.97,11.15,12.75,12.75,11.15,7.17,7.17,7.17,7.17
N_0_19,N_1_17,12.25808196543408,6.8,6.8,6.8,6.8,6.8,6.8,8.46,8.46,9.19,9.19,7.35,7.35,7.35,7.35,7.35,7.35,8.83,9.56,9.56,8.83,6.99,6.99,6.99,6.99
N_0_19,N_1_20,12.431537070107108,6.9,6.9,6.9,6.9,6.9,6.9,8.58,8.58,9.32,9.32,7.46,7.46,7.46,7.46,7.46,7.46,8.95,9.7,9.7,8.95,7.09,7.09,7.09,7.09
N_0_2,N_0_0,1.8018333297626108,2.96,2.96,2.96,2.96,2.96,2.96,4.9,4.9,5.77,5.77,3.6,3.6,3.6,3.6,3.6,3.6,5.33,6.2,6.2,5.33,3.17,3.17,3.17,3.17
N_0_2,N_0_4,3.8600922653099876,3.94,3.94,3.94,3.94,3.94,3.94,6.02,6.02,6.95,6.95,4.63,4.63,4.63,4.63,4.63,4.63,6.48,7.41,7.41,6.48,4.17,4.17,4.17,4.17
N_0_2,N_1_4,10.372521331846226,5.76,5.76,5.76,5.76,5.76,5.76,7.16,7.16,7.78,7.78,6.22,6.22,6.22,6.22,6.22,6.22,7.47,8.09,8.09,7.47,5.91,5.91,5.91,5.91
N_0_2,N_1_0,3.3803433571025234,3.45,3.45,3.45,3.45,3.45,3.45,5.27,5.27,6.08,6.08,4.06,4.06,4.06,4.06,4.06,4.06,5.68,6.49,6.49,5.68,3.65,3.65,3.65,3.65
N_0_20,N_2_19,4.490587437503614,4.58,4.58,4.58,4.58,4.58,4.58,7.01,7.01,8.08,8.08,5.39,5.39,5.39,5.39,5.39,5.39,7.54,8.62,8.62,7.54,4.85,4.85,4.85,4.85
N_0_20,N_1_21,14.696372366928346,8.16,8.16,8.16,8.16,8.16,8.16,10.14,10.14,11.02,11.02,8.82,8.82,8.82,8.82,8.82,8.82,10.58,11.46,11.46,10.58,8.38,8.38,8.38,8.38
N_0_21,N_2_20,5.31167407355942,5.42,5.42,5.42,5.42,5.42,5.42,8.29,8.29,9.56,9.56,6.37,6.37,6.37,6.37,6.37,6.37,8.92,10.2,10.2,8.92,5.74,5.74,5.74,5.74
N_0_21,N_0_22,3.8969794764302623,3.97,3.97,3.97,3.97,3.97,3.97,6.08,6.08,7.01,7.01,4.68,4.68,4.68,4.68,4.68,4.68,6.55,7.48,7.48,6.55,4.21,4.21,4.21,4.21
N_0_21,N_0_23,1.2351221012307003,2.03,2.03,2.03,2.03,2.03,2.03,3.36,3.36,3.95,3.95,2.47,2.47,2.47,2.47,2.47,2.47,3.66,4.25,4.25,3.66,2.17,2.17,2.17,2.17
N_0_21,N_0_19,6.2288854846093775,6.35,6.35,6.35,6.35,6.35,6.35,9.72,9.72,11.21,11.21,7.47,7.47,7.47,7.47,7.47,7.47,10.46,11.96,11.96,10.46,6.73,6.73,6.73,6.73
N_0_22,N_0_21,3.8969794764302623,3.97,3.97,3.97,3.97,3.97,3.97,6.08,6.08,7.01,7.01,4.68,4.68,4.68,4.68,4.68,4.68,6.55,7.48,7.48,6.55,4.21,4.21,4.21,4.21
N_0_22,N_1_24,14.089038945755068,7.82,7.82,7.82,7.82,7.82,7.82,9.72,9.72,10.57,10.57,8.45,8.45,8.45,8.45,8.45,8.45,10.14,10.99,10.99,10.14,8.03,8.03,8.03,8.03
N_0_22,N_2_23,3.5674986166050746,3.64,3.64,3.64,3.64,3.64,3.64,5.57,5.57,6.42,6.42,4.28,4.28,4.28,4.28,4.28,4.28,5.99,6.85,6.85,5.99,3.85,3.85,3.85,3.85
N_0_23,N_0_22,6.107342479866964,6.23,6.23,6.23,6.23,6.23,6.23,9.53,9.53,10.99,10.99,7.33,7.33,7.33,7.33,7.33,7.33,10.26,11.73,11.73,10.26,6.6,6.6,6.6,6.6
N_0_23,N_0_24,8.368261784978653,4.64,4.64,4.64,4.64,4.64,4.64,5.77,5.77,6.28,6.28,5.02,5.02,5.02,5.02,5.02,5.02,6.03,6.53,6.53,6.03,4.77,4.77,4.77,4.77
