source,destination,distance,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23
N_0_0,N_1_2,3.25336702639727,3.32,3.32,3.32,3.32,3.32,3.32,5.08,5.08,5.86,5.86,3.9,3.9,3.9,3.9,3.9,3.9,5.47,6.25,6.25,5.47,3.51,3.51,3.51,3.51
N_0_0,N_1_0,0.8797389048944377,1.44,1.44,1.44,1.44,1.44,1.44,2.39,2.39,2.82,2.82,1.76,1.76,1.76,1.76,1.76,1.76,2.6,3.03,3.03,2.6,1.55,1.55,1.55,1.55
N_0_0,N_0_1,3.616526055724598,3.69,3.69,3.69,3.69,3.69,3.69,5.64,5.64,6.51,6.51,4.34,4.34,4.34,4.34,4.34,4.34,6.08,6.94,6.94,6.08,3.91,3.91,3.91,3.91
N_0_0,N_1_1,4.288096222593311,4.37,4.37,4.37,4.37,4.37,4.37,6.69,6.69,7.72,7.72,5.15,5.15,5.15,5.15,5.15,5.15,7.2,8.23,8.23,7.2,4.63,4.63,4.63,4.63
N_0_1,N_0_0,3.616526055724598,3.69,3.69,3.69,3.69,3.69,3.69,5.64,5.64,6.51,6.51,4.34,4.34,4.34,4.34,4.34,4.34,6.08,6.94,6.94,6.08,3.91,3.91,3.91,3.91
N_0_1,N_0_2,11.997085269482893,6.66,6.66,6.66,6.66,6.66,6.66,8.28,8.28,9.0,9.0,7.2,7.2,7.2,7.2,7.2,7.2,8.64,9.36,9.36,8.64,6.84,6.84,6.84,6.84
N_0_1,N_1_1,4.023754121335912,4.1,4.1,4.1,4.1,4.1,4.1,6.28,6.28,7.24,7.24,4.83,4.83,4.83,4.83,4.83,4.83,6.76,7.73,7.73,6.76,4.35,4.35,4.35,4.35
N_0_1,N_2_2,3.283495843800488,3.35,3.35,3.35,3.35,3.35,3.35,5.12,5.12,5.91,5.91,3.94,3.94,3.94,3.94,3.94,3.94,5.52,6.3,6.3,5.52,3.55,3.55,3.55,3.55
N_0_1,N_2_0,11.43983850999792,6.35,6.35,6.35,6.35,6.35,6.35,7.89,7.89,8.58,8.58,6.86,6.86,6.86,6.86,6.86,6.86,8.24,8.92,8.92,8.24,6.52,6.52,6.52,6.52
N_0_1,N_2_1,13.607139643076188,7.55,7.55,7.55,7.55,7.55,7.55,9.39,9.39,10.21,10.21,8.16,8.16,8.16,8.16,8.16,8.16,9.8,10.61,10.61,9.8,7.76,7.76,7.76,7.76
N_0_1,N_0_3,6.7529754307994425,6.89,6.89,6.89,6.89,6.89,6.89,10.53,10.53,12.16,12.16,8.1,8.1,8.1,8.1,8.1,8.1,11.34,12.97,12.97,11.34,7.29,7.29,7.29,7.29
N_0_10,N_0_12,9.617126023185456,5.34,5.34,5.34,5.34,5.34,5.34,6.64,6.64,7.21,7.21,5.77,5.77,5.77,5.77,5.77,5.77,6.92,7.5,7.5,6.92,5.48,5.48,5.48,5.48
N_0_10,N_0_11,12.598135596076705,6.99,6.99,6.99,6.99,6.99,6.99,8.69,8.69,9.45,9.45,7.56,7.56,7.56,7.56,7.56,7.56,9.07,9.83,9.83,9.07,7.18,7.18,7.18,7.18
N_0_11,N_0_10,12.598135596076705,6.99,6.99,6.99,6.99,6.99,6.99,8.69,8.69,9.45,9.45,7.56,7.56,7.56,7.56,7.56,7.56,9.07,9.83,9.83,9.07,7.18,7.18,7.18,7.18
N_0_11,N_1_11,4.70829996117425,4.8,4.8,4.8,4.8,4.8,4.8,7.34,7.34,8.47,8.47,5.65,5.65,5.65,5.65,5.65,5.65,7.91,9.04,9.04,7.91,5.08,5.08,5.08,5.08
N_0_11,N_1_13,5.19986186628214,5.3,5.3,5.3,5.3,5.3,5.3,8.11,8.11,9.36,9.36,6.24,6.24,6.24,6.24,6.24,6.24,8.74,9.98,9.98,8.74,5.62,5.62,5.62,5.62
N_0_11,N_2_10,5.135601907921838,5.24,5.24,5.24,5.24,5.24,5.24,8.01,8.01,9.24,9.24,6.16,6.16,6.16,6.16,6.16,6.16,8.63,9.86,9.86,8.63,5.55,5.55,5.55,5.55
N_0_12,N_0_10,9.617126023185456,5.34,5.34,5.34,5.34,5.34,5.34,6.64,6.64,7.21,7.21,5.77,5.77,5.77,5.77,5.77,5.77,6.92,7.5,7.5,6.92,5.48,5.48,5.48,5.48
N_0_12,N_2_13,6.70458769037063,6.84,6.84,6.84,6.84,6.84,6.84,10.46,10.46,12.07,12.07,8.05,8.05,8.05,8.05,8.05,8.05,11.26,12.87,12.87,11.26,7.24,7.24,7.24,7.24
N_0_12,N_1_10,1.3949995779964988,2.29,2.29,2.29,2.29,2.29,2.29,3.79,3.79,4.46,4.46,2.79,2.79,2.79,2.79,2.79,2.79,4.13,4.8,4.8,4.13,2.46,2.46,2.46,2.46
N_0_13,N_2_14,13.753579457129801,7.63,7.63,7.63,7.63,7.63,7.63,9.49,9.49,10.32,10.32,8.25,8.25,8.25,8.25,8.25,8.25,9.9,10.73,10.73,9.9,7.84,7.84,7.84,7.84
N_0_13,N_0_12,11.875642072997245,6.59,6.59,6.59,6.59,6.59,6.59,8.19,8.19,8.91,8.91,7.13,7.13,7.13,7.13,7.13,7.13,8.55,9.26,9.26,8.55,6.77,6.77,6.77,6.77
N_0_14,N_1_16,13.677519657478609,7.59,7.59,7.59,7.59,7.59,7.59,9.44,9.44,10.26,10.26,8.21,8.21,8.21,8.21,8.21,8.21,9.85,10.67,10.67,9.85,7.8,7.8,7.8,7.8
N_0_14,N_1_14,6.671527213377871,6.8,6.8,6.8,6.8,6.8,6.8,10.41,10.41,12.01,12.01,8.01,8.01,8.01,8.01,8.01,8.01,11.21,12.81,12.81,11.21,7.21,7.21,7.21,7.21
N_0_15,N_2_16,13.658388205125823,7.58,7.58,7.58,7.58,7.58,7.58,9.42,9.42,10.24,10.24,8.2,8.2,8.2,8.2,8.2,8.2,9.83,10.65,10.65,9.83,7.79,7.79,7.79,7.79
N_0_15,N_0_13,6.6874859860808105,6.82,6.82,6.82,6.82,6.82,6.82,10.43,10.43,12.04,12.04,8.02,8.02,8.02,8.02,8.02,8.02,11.23,12.84,12.84,11.23,7.22,7.22,7.22,7.22
N_0_16,N_0_18,5.259651575970054,5.36,5.36,5.36,5.36,5.36,5.36,8.21,8.21,9.47,9.47,6.31,6.31,6.31,6.31,6.31,6.31,8.84,10.1,10.1,8.84,5.68,5.68,5.68,5.68
