node_id,x,y
N_0_0,0.0,0.0
N_0_1,0.0,1.0
N_0_10,0.0,10.0
N_0_11,0.0,11.0
N_0_12,0.0,12.0
N_0_13,0.0,13.0
N_0_14,0.0,14.0
N_0_15,0.0,15.0
N_0_16,0.0,16.0
N_0_17,0.0,17.0
N_0_18,0.0,18.0
N_0_19,0.0,19.0
N_0_2,0.0,2.0
N_0_20,0.0,20.0
N_0_21,0.0,21.0
N_0_22,0.0,22.0
N_0_23,0.0,23.0
N_0_24,0.0,24.0
N_0_25,0.0,25.0
N_0_26,0.0,26.0
N_0_27,0.0,27.0
N_0_28,0.0,28.0
N_0_29,0.0,29.0
N_0_3,0.0,3.0
N_0_30,0.0,30.0
N_0_31,0.0,31.0
N_0_32,0.0,32.0
N_0_33,0.0,33.0
N_0_34,0.0,34.0
N_0_35,0.0,35.0
N_0_36,0.0,36.0
N_0_37,0.0,37.0
N_0_38,0.0,38.0
N_0_39,0.0,39.0
N_0_4,0.0,4.0
N_0_40,0.0,40.0
N_0_41,0.0,41.0
N_0_42,0.0,42.0
N_0_43,0.0,43.0
N_0_44,0.0,44.0
N_0_45,0.0,45.0
N_0_46,0.0,46.0
N_0_47,0.0,47.0
N_0_48,0.0,48.0
N_0_49,0.0,49.0
N_0_5,0.0,5.0
N_0_50,0.0,50.0
N_0_51,0.0,51.0
N_0_52,0.0,52.0
N_0_53,0.0,53.0
N_0_54,0.0,54.0
N_0_55,0.0,55.0
N_0_56,0.0,56.0
N_0_57,0.0,57.0
N_0_58,0.0,58.0
N_0_59,0.0,59.0
N_0_6,0.0,6.0
N_0_60,0.0,60.0
N_0_61,0.0,61.0
N_0_62,0.0,62.0
N_0_63,0.0,63.0
N_0_64,0.0,64.0
N_0_65,0.0,65.0
N_0_66,0.0,66.0
N_0_67,0.0,67.0
N_0_68,0.0,68.0
N_0_69,0.0,69.0
N_0_7,0.0,7.0
N_0_70,0.0,70.0
N_0_71,0.0,71.0
N_0_72,0.0,72.0
N_0_73,0.0,73.0
N_0_74,0.0,74.0
N_0_75,0.0,75.0
N_0_76,0.0,76.0
N_0_77,0.0,77.0
N_0_78,0.0,78.0
N_0_79,0.0,79.0
N_0_8,0.0,8.0
N_0_80,0.0,80.0
N_0_81,0.0,81.0
N_0_82,0.0,82.0
N_0_83,0.0,83.0
N_0_84,0.0,84.0
N_0_85,0.0,85.0
N_0_86,0.0,86.0
N_0_87,0.0,87.0
N_0_88,0.0,88.0
N_0_89,0.0,89.0
N_0_9,0.0,9.0
N_0_90,0.0,90.0
N_0_91,0.0,91.0
N_0_92,0.0,92.0
N_0_93,0.0,93.0
N_0_94,0.0,94.0
N_0_95,0.0,95.0
N_0_96,0.0,96.0
N_0_97,0.0,97.0
N_0_98,0.0,98.0
N_0_99,0.0,99.0
N_10_0,10.0,0.0
N_10_1,10.0,1.0
N_10_10,10.0,10.0
N_10_11,10.0,11.0
N_10_12,10.0,12.0
N_10_13,10.0,13.0
N_10_14,10.0,14.0
N_10_15,10.0,15.0
N_10_16,10.0,16.0
N_10_17,10.0,17.0
N_10_18,10.0,18.0
N_10_19,10.0,19.0
N_10_2,10.0,2.0
N_10_20,10.0,20.0
N_10_21,10.0,21.0
N_10_22,10.0,22.0
N_10_23,10.0,23.0
N_10_24,10.0,24.0
N_10_25,10.0,25.0
N_10_26,10.0,26.0
N_10_27,10.0,27.0
N_10_28,10.0,28.0
N_10_29,10.0,29.0
N_10_3,10.0,3.0
N_10_30,10.0,30.0
N_10_31,10.0,31.0
N_10_32,10.0,32.0
N_10_33,10.0,33.0
N_10_34,10.0,34.0
N_10_35,10.0,35.0
N_10_36,10.0,36.0
N_10_37,10.0,37.0
N_10_38,10.0,38.0
