source,destination,distance,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23
N_0_0,N_2_0,6.610053711076485,6.74,6.74,6.74,6.74,6.74,6.74,10.31,10.31,11.9,11.9,7.93,7.93,7.93,7.93,7.93,7.93,11.1,12.69,12.69,11.1,7.14,7.14,7.14,7.14
N_0_0,N_0_2,3.59338889904209,3.67,3.67,3.67,3.67,3.67,3.67,5.61,5.61,6.47,6.47,4.31,4.31,4.31,4.31,4.31,4.31,6.04,6.9,6.9,6.04,3.88,3.88,3.88,3.88
N_0_1,N_0_3,4.968099724465908,5.07,5.07,5.07,5.07,5.07,5.07,7.75,7.75,8.94,8.94,5.96,5.96,5.96,5.96,5.96,5.96,8.35,9.54,9.54,8.35,5.37,5.37,5.37,5.37
N_0_1,N_1_2,8.453675326082278,4.69,4.69,4.69,4.69,4.69,4.69,5.83,5.83,6.34,6.34,5.07,5.07,5.07,5.07,5.07,5.07,6.09,6.59,6.59,6.09,4.82,4.82,4.82,4.82
N_0_1,N_2_1,6.4878180833302554,6.62,6.62,6.62,6.62,6.62,6.62,10.12,10.12,11.68,11.68,7.79,7.79,7.79,7.79,7.79,7.79,10.9,12.46,12.46,10.9,7.01,7.01,7.01,7.01
N_0_10,N_2_10,4.416621529468121,4.5,4.5,4.5,4.5,4.5,4.5,6.89,6.89,7.95,7.95,5.3,5.3,5.3,5.3,5.3,5.3,7.42,8.48,8.48,7.42,4.77,4.77,4.77,4.77
N_0_10,N_2_9,4.07540732535799,4.16,4.16,4.16,4.16,4.16,4.16,6.36,6.36,7.34,7.34,4.89,4.89,4.89,4.89,4.89,4.89,6.85,7.82,7.82,6.85,4.4,4.4,4.4,4.4
N_0_10,N_0_12,4.481474266839001,4.57,4.57,4.57,4.57,4.57,4.57,6.99,6.99,8.07,8.07,5.38,5.38,5.38,5.38,5.38,5.38,7.53,8.6,8.6,7.53,4.84,4.84,4.84,4.84
N_0_10,N_2_11,2.164443144304377,3.55,3.55,3.55,3.55,3.55,3.55,5.89,5.89,6.93,6.93,4.33,4.33,4.33,4.33,4.33,4.33,6.41,7.45,7.45,6.41,3.81,3.81,3.81,3.81
N_0_11,N_0_9,4.362038644283212,4.45,4.45,4.45,4.45,4.45,4.45,6.8,6.8,7.85,7.85,5.23,5.23,5.23,5.23,5.23,5.23,7.33,8.38,8.38,7.33,4.71,4.71,4.71,4.71
N_0_11,N_2_11,6.2955067565652065,6.42,6.42,6.42,6.42,6.42,6.42,9.82,9.82,11.33,11.33,7.55,7.55,7.55,7.55,7.55,7.55,10.58,12.09,12.09,10.58,6.8,6.8,6.8,6.8
N_0_12,N_0_10,4.481474266839001,4.57,4.57,4.57,4.57,4.57,4.57,6.99,6.99,8.07,8.07,5.38,5.38,5.38,5.38,5.38,5.38,7.53,8.6,8.6,7.53,4.84,4.84,4.84,4.84
N_0_12,N_1_10,6.818031473573269,6.95,6.95,6.95,6.95,6.95,6.95,10.64,10.64,12.27,12.27,8.18,8.18,8.18,8.18,8.18,8.18,11.45,13.09,13.09,11.45,7.36,7.36,7.36,7.36
N_0_12,N_0_11,6.832798670163418,6.97,6.97,6.97,6.97,6.97,6.97,10.66,10.66,12.3,12.3,8.2,8.2,8.2,8.2,8.2,8.2,11.48,13.12,13.12,11.48,7.38,7.38,7.38,7.38
N_0_13,N_0_14,9.916790182636458,5.5,5.5,5.5,5.5,5.5,5.5,6.84,6.84,7.44,7.44,5.95,5.95,5.95,5.95,5.95,5.95,7.14,7.74,7.74,7.14,5.65,5.65,5.65,5.65
N_0_13,N_0_12,14.846081659341667,8.24,8.24,8.24,8.24,8.24,8.24,10.24,10.24,11.13,11.13,8.91,8.91,8.91,8.91,8.91,8.91,10.69,11.58,11.58,10.69,8.46,8.46,8.46,8.46
N_0_13,N_1_15,6.284841209850509,6.41,6.41,6.41,6.41,6.41,6.41,9.8,9.8,11.31,11.31,7.54,7.54,7.54,7.54,7.54,7.54,10.56,12.07,12.07,10.56,6.79,6.79,6.79,6.79
N_0_14,N_0_16,13.703808999270972,7.61,7.61,7.61,7.61,7.61,7.61,9.46,9.46,10.28,10.28,8.22,8.22,8.22,8.22,8.22,8.22,9.87,10.69,10.69,9.87,7.81,7.81,7.81,7.81
N_0_14,N_0_15,6.3451720129794555,6.47,6.47,6.47,6.47,6.47,6.47,9.9,9.9,11.42,11.42,7.61,7.61,7.61,7.61,7.61,7.61,10.66,12.18,12.18,10.66,6.85,6.85,6.85,6.85
N_0_14,N_1_15,5.0423996740270365,5.14,5.14,5.14,5.14,5.14,5.14,7.87,7.87,9.08,9.08,6.05,6.05,6.05,6.05,6.05,6.05,8.47,9.68,9.68,8.47,5.45,5.45,5.45,5.45
N_0_14,N_1_12,1.9716356778857567,3.23,3.23,3.23,3.23,3.23,3.23,5.36,5.36,6.31,6.31,3.94,3.94,3.94,3.94,3.94,3.94,5.84,6.78,6.78,5.84,3.47,3.47,3.47,3.47
N_0_15,N_1_13,0.6372860767733954,1.05,1.05,1.05,1.05,1.05,1.05,1.73,1.73,2.04,2.04,1.27,1.27,1.27,1.27,1.27,1.27,1.89,2.19,2.19,1.89,1.12,1.12,1.12,1.12
N_0_15,N_0_17,1.4465690601136496,2.37,2.37,2.37,2.37,2.37,2.37,3.93,3.93,4.63,4.63,2.89,2.89,2.89,2.89,2.89,2.89,4.28,4.98,4.98,4.28,2.55,2.55,2.55,2.55
N_0_15,N_2_14,5.853097971292639,5.97,5.97,5.97,5.97,5.97,5.97,9.13,9.13,10.54,10.54,7.02,7.02,7.02,7.02,7.02,7.02,9.83,11.24,11.24,9.83,6.32,6.32,6.32,6.32
N_0_15,N_2_16,4.079757885172748,4.16,4.16,4.16,4.16,4.16,4.16,6.36,6.36,7.34,7.34,4.9,4.9,4.9,4.9,4.9,4.9,6.85,7.83,7.83,6.85,4.41,4.41,4.41,4.41
N_0_15,N_1_17,1.3925432245663845,2.28,2.28,2.28,2.28,2.28,2.28,3.79,3.79,4.46,4.46,2.79,2.79,2.79,2.79,2.79,2.79,4.12,4.79,4.79,4.12,2.45,2.45,2.45,2.45
N_0_15,N_1_14,4.760107951040324,4.86,4.86,4.86,4.86,4.86,4.86,7.43,7.43,8.57,8.57,5.71,5.71,5.71,5.71,5.71,5.71,8.0,9.14,9.14,8.0,5.14,5.14,5.14,5.14
N_0_16,N_2_17,11.284649301285766,6.26,6.26,6.26,6.26,6.26,6.26,7.79,7.79,8.46,8.46,6.77,6.77,6.77,6.77,6.77,6.77,8.12,8.8,8.8,8.12,6.43,6.43,6.43,6.43
N_0_16,N_2_16,11.910704667397518,6.61,6.61,6.61,6.61,6.61,6.61,8.22,8.22,8.93,8.93,7.15,7.15,7.15,7.15,7.15,7.15,8.58,9.29,9.29,8.58,6.79,6.79,6.79,6.79
N_0_17,N_0_19,6.516488852079107,6.65,6.65,6.65,6.65,6.65,6.65,10.17,10.17,11.73,11.73,7.82,7.82,7.82,7.82,7.82,7.82,10.95,12.51,12.51,10.95,7.04,7.04,7.04,7.04
N_0_17,N_0_15,10.121205491192985,5.62,5.62,5.62,5.62,5.62,5.62,6.98,6.98,7.59,7.59,6.07,6.07,6.07,6.07,6.07,6.07,7.29,7.89,7.89,7.29,5.77,5.77,5.77,5.77
N_0_17,N_2_16,8.553876294454602,4.75,4.75,4.75,4.75,4.75,4.75,5.9,5.9,6.42,6.42,5.13,5.13,5.13,5.13,5.13,5.13,6.16,6.67,6.67,6.16,4.88,4.88,4.88,4.88
N_0_18,N_1_18,5.4598369974976375,5.57,5.57,5.57,5.57,5.57,5.57,8.52,8.52,9.83,9.83,6.55,6.55,6.55,6.55,6.55,6.55,9.17,10.48,10.48,9.17,5.9,5.9,5.9,5.9
N_0_18,N_0_16,5.548577615651489,5.66,5.66,5.66,5.66,5.66,5.66,8.66,8.66,9.99,9.99,6.66,6.66,6.66,6.66,6.66,6.66,9.32,10.65,10.65,9.32,5.99,5.99,5.99,5.99
N_0_18,N_2_19,13.693444668226403,7.6,7.6,7.6,7.6,7.6,7.6,9.45,9.45,10.27,10.27,8.22,8.22,8.22,8.22,8.22,8.22,9.86,10.68,10.68,9.86,7.81,7.81,7.81,7.81
N_0_18,N_1_16,5.197413106264566,5.3,5.3,5.3,5.3,5.3,5.3,8.11,8.11,9.36,9.36,6.24,6.24,6.24,6.24,6.24,6.24,8.73,9.98,9.98,8.73,5.61,5.61,5.61,5.61
N_0_18,N_1_20,9.0640825789465,5.03,5.03,5.03,5.03,5.03,5.03,6.25,6.25,6.8,6.8,5.44,5.44,5.44,5.44,5.44,5.44,6.53,7.07,7.07,6.53,5.17,5.17,5.17,5.17
N_0_18,N_2_18,2.1286893936759173,3.49,3.49,3.49,3.49,3.49,3.49,5.79,5.79,6.81,6.81,4.26,4.26,4.26,4.26,4.26,4.26,6.3,7.32,7.32,6.3,3.75,3.75,3.75,3.75
N_0_18,N_0_20,1.3733362151508288,2.25,2.25,2.25,2.25,2.25,2.25,3.74,3.74,4.39,4.39,2.75,2.75,2.75,2.75,2.75,2.75,4.07,4.72,4.72,4.07,2.42,2.42,2.42,2.42
N_0_19,N_0_17,6.516488852079107,6.65,6.65,6.65,6.65,6.65,6.65,10.17,10.17,11.73,11.73,7.82,7.82,7.82,7.82,7.82,7.82,10.95,12.51,12.51,10.95,7.04,7.04,7.04,7.04
N_0_19,N_2_18,2.089967603270577,3.43,3.43,3.43,3.43,3.43,3.43,5.68,5.68,6.69,6.69,4.18,4.18,4.18,4.18,4.18,4.18,6.19,7.19,7.19,6.19,3.68,3.68,3.68,3.68
N_0_19,N_1_20,4.935555688834195,5.03,5.03,5.03,5.03,5.03,5.03,7.7,7.7,8.88,8.88,5.92,5.92,5.92,5.92,5.92,5.92,8.29,9.48,9.48,8.29,5.33,5.33,5.33,5.33
N_0_2,N_0_0,3.59338889904209,3.67,3.67,3.67,3.67,3.67,3.67,5.61,5.61,6.47,6.47,4.31,4.31,4.31,4.31,4.31,4.31,6.04,6.9,6.9,6.04,3.88,3.88,3.88,3.88
N_0_2,N_1_1,6.917201363610484,7.06,7.06,7.06,7.06,7.06,7.06,10.79,10.79,12.45,12.45,8.3,8.3,8.3,8.3,8.3,8.3,11.62,13.28,13.28,11.62,7.47,7.47,7.47,7.47
N_0_2,N_2_1,5.7277713312009855,5.84,5.84,5.84,5.84,5.84,5.84,8.94,8.94,10.31,10.31,6.87,6.87,6.87,6.87,6.87,6.87,9.62,11.0,11.0,9.62,6.19,6.19,6.19,6.19
N_0_2,N_0_3,2.3338114257438,3.83,3.83,3.83,3.83,3.83,3.83,6.35,6.35,7.47,7.47,4.67,4.67,4.67,4.67,4.67,4.67,6.91,8.03,8.03,6.91,4.11,4.11,4.11,4.11
N_0_2,N_2_3,1.3940799410463818,2.29,2.29,2.29,2.29,2.29,2.29,3.79,3.79,4.46,4.46,2.79,2.79,2.79,2.79,2.79,2.79,4.13,4.8,4.8,4.13,2.45,2.45,2.45,2.45
N_0_2,N_1_0,6.29490490352465,6.42,6.42,6.42,6.42,6.42,6.42,9.82,9.82,11.33,11.33,7.55,7.55,7.55,7.55,7.55,7.55,10.58,12.09,12.09,10.58,6.8,6.8,6.8,6.8
N_0_2,N_1_4,5.450185934412506,5.56,5.56,5.56,5.56,5.56,5.56,8.5,8.5,9.81,9.81,6.54,6.54,6.54,6.54,6.54,6.54,9.16,10.46,10.46,9.16,5.89,5.89,5.89,5.89
N_0_20,N_0_18,1.3733362151508288,2.25,2.25,2.25,2.25,2.25,2.25,3.74,3.74,4.39,4.39,2.75,2.75,2.75,2.75,2.75,2.75,4.07,4.72,4.72,4.07,2.42,2.42,2.42,2.42
